text,label
I am logged in on my desktop but the mobile app on my new phone says my account does not exist.,account_access
I would love to see a dark mode option for the desktop application as the white background is quite straining on my eyes during late-night sessions.,feature_request
I was billed for an 'Onboarding Package' even though I set up the entire system myself using your online documentation.,billing_problem
I am a developer and I want to know if there is a way to get an alert when my bill reaches $50.,billing_problem
I just upgraded my phone and I cannot figure out how to transfer my secure login session from my old device to the new one.,account_access
I want to know how to restrict certain users from downloading files.,how_to
I need to add a specific Purchase Order number to an invoice that was already generated last Tuesday so I can get reimbursed.,billing_problem
The map view is taking a long time to render all the data points on my Windows machine.,performance
I am the secondary administrator for our tenant and I have been locked out of the management console after enabling strict conditional access policies.,account_access
Is there a way to see a list of all the keyboard shortcuts available in the app?,other
I am frustrated because there is no phone number to call about this $200 discrepancy on my invoice.,billing_problem
I found an open S3 bucket that appears to contain sensitive documents belonging to your customers.,security_concern
"The ""Forgot Password"" link took five minutes to actually send me to the next page.",performance
I noticed three extra seats were added to my bill automatically by my Slack integration without any confirmation from me.,billing_problem
"How do I set up a ""Shared Wallet"" for my team's expenses?",how_to
I can't verify my business credit card because your 'Company Name' field has a character limit that is too short for my legal name.,billing_problem
Can you show me how to adjust the microphone sensitivity in the settings?,how_to
Our staging environment cannot reach the auth server because the new IP range hasn't been added to your global whitelist.,account_access
I have a very old account that hasn't been used in years and the system is telling me it needs to be manually reactivated by support.,account_access
"It would be great if the data export included a ""summary page"" with high-level charts and graphs instead of just raw numbers.",feature_request
What is the best way to stay updated on new announcements and company news?,other
A new hire is stuck in a login loop between Google Workspace and our internal portal and cannot complete their onboarding.,account_access
My authenticator app codes are being rejected and I suspect it is because my phone's clock is still set to my home timezone.,account_access
"The ""Toggle All"" switch for email alerts is not working on the mobile version of the site.",bug
"I noticed that the ""Remember Me"" cookie contains my username in plain text.",security_concern
"My account was locked due to too many failed login attempts, but I haven't tried to log in for weeks, which suggests a brute-force attack.",security_concern
Is there a plan to support hardware security keys like YubiKey for the multi-factor authentication process?,feature_request
Is there a way to get an alert every time someone logs into my account from a new IP?,security_concern
I am certain I know the answer to my security question but it might be a capitalization issue you can fix.,account_access
Can you confirm that my deleted files are actually overwritten and not just hidden from the UI?,security_concern
The app crashes whenever I try to use the camera to scan a QR code on my Google Pixel.,bug
"The ""Preview"" window for my blog post is showing a different layout than the actual live site.",bug
"The app is showing me a ""Trial Expired"" message even though I have a lifetime subscription.",bug
Why is there a separate charge for 'cloud storage' when my main plan is supposed to be all-inclusive?,billing_problem
I’m a bit overwhelmed and I think I need a human to walk me through the basic setup.,other
"The interface is lagging when I try to use the ""Filter by Date"" feature.",performance
"It would be helpful if we could ""color-code"" our tags to make them more visually distinct.",feature_request
I am an enterprise user and I need to know how to deploy this across 500 machines.,how_to
"As a developer, I would find it very useful if your API supported webhooks for real-time events like new user registrations.",feature_request
"Our HR team would like a ""birthday reminder"" feature on the team calendar to help boost employee morale.",feature_request
"My account says it's been deactivated for no reason and I have a deadline in an hour, please fix this immediately.",account_access
"Could you add a ""do not disturb"" toggle that automatically replies to messages when I'm busy?",feature_request
"The ""Search"" function is not case-sensitive for some words but is for others.",bug
I am a first-time user and I need a tour of the main dashboard.,how_to
I am a student using this for my thesis and it would be incredibly helpful if there was a built-in citation generator for the documents we upload.,feature_request
"The 'Billing' tab is completely hidden when I view the site on my smartphone, making it impossible to check my balance on the go.",billing_problem
I am the project owner but the console is telling me I lack the permissions to view or manage the API credentials.,account_access
"I need help knowing how to ""Unsubscribe"" from the marketing SMS list.",how_to
"Could you add a ""multi-select"" tool for the calendar view so I can move several events to a different day at once?",feature_request
There's a significant delay when I try to switch from the personal view to the company view.,performance
"I noticed that the cookies your site uses do not have the ""Secure"" or ""HttpOnly"" flags set.",security_concern
"The ""Password Reset"" page is not working on mobile browsers.",bug
I'm frustrated because I can't get my work done with the system being this unresponsive.,performance
"What is the difference between a ""shared"" and a ""public"" link in your system?",other
The checkout page timed out while I was hitting pay and now I have two identical charges pending on my bank account.,billing_problem
"Could you implement a ""quiet hours"" setting for the mobile app so I don't receive any push notifications between 9 PM and 7 AM?",feature_request
"How do I set up a ""Reminder"" for a task that isn't due for three months?",how_to
"The system is taking a long time to show the ""Processing"" animation after I submit a form.",performance
I am an admin and I need to download every single receipt from the last three years for an audit.,billing_problem
"Could you add a ""low data mode"" for the app to help users who are on limited mobile data plans?",feature_request
